filename,sample,z_position,time_point,time_hours,light_intensity,cell_area,intensity_group
7_brightfield_z1_t000065.tif,7,1,65,10.833333333333334,0.16164046078245653,667746,Very Low
14_brightfield_z1_t000031.tif,14,1,31,5.166666666666667,0.9928156277200251,1033132,Very High
15_brightfield_z1_t000017.tif,15,1,17,2.8333333333333335,0.7268985758133352,1002236,Medium
16_brightfield_z1_t000043.tif,16,1,43,7.166666666666667,0.4243918632628634,415919,Low
11_brightfield_z1_t000062.tif,11,1,62,10.333333333333334,0.9193995210257941,1292479,Very High
6_brightfield_z1_t000064.tif,6,1,64,10.666666666666666,0.7724659185359299,557534,High
5_brightfield_z1_t000056.tif,5,1,56,9.333333333333334,0.7716107149955482,973036,High
1_brightfield_z1_t000118.tif,1,1,118,19.666666666666668,0.37742523975885955,1472251,Low
8_brightfield_z1_t000011.tif,8,1,11,1.8333333333333333,0.27233842320748736,733430,Very Low
4_brightfield_z1_t000102.tif,4,1,102,17.0,0.16585320075917387,810820,Very Low
9_brightfield_z1_t000107.tif,9,1,107,17.833333333333332,0.32561501771508844,1607093,Very Low
16_brightfield_z1_t000061.tif,16,1,61,10.166666666666666,0.4243918632628634,399313,Low
3_brightfield_z1_t000023.tif,3,1,23,3.8333333333333335,0.5593319454747254,1088814,Low
4_brightfield_z1_t000104.tif,4,1,104,17.333333333333332,0.16585320075917387,810832,Very Low
10_brightfield_z1_t000030.tif,10,1,30,5.0,0.6326121651091076,1324240,Medium
15_brightfield_z1_t000117.tif,15,1,117,19.5,0.7268985758133352,418853,Medium
13_brightfield_z1_t000110.tif,13,1,110,18.333333333333332,0.6522825423162754,665715,Medium
14_brightfield_z1_t000047.tif,14,1,47,7.833333333333333,0.9928156277200251,511268,Very High
12_brightfield_z1_t000110.tif,12,1,110,18.333333333333332,0.9597245567673008,464716,Very High
1_brightfield_z1_t000124.tif,1,1,124,20.666666666666668,0.37742523975885955,1471239,Low
7_brightfield_z1_t000021.tif,7,1,21,3.5,0.16164046078245653,732908,Very Low
3_brightfield_z1_t000098.tif,3,1,98,16.333333333333332,0.5593319454747254,1270752,Low
5_brightfield_z1_t000048.tif,5,1,48,8.0,0.7716107149955482,1036036,High
11_brightfield_z1_t000103.tif,11,1,103,17.166666666666668,0.9193995210257941,1157693,Very High
4_brightfield_z1_t000124.tif,4,1,124,20.666666666666668,0.16585320075917387,775427,Very Low
6_brightfield_z1_t000112.tif,6,1,112,18.666666666666668,0.7724659185359299,402911,High
2_brightfield_z1_t000006.tif,2,1,6,1.0,0.876934678643173,1000024,High
3_brightfield_z1_t000007.tif,3,1,7,1.1666666666666667,0.5593319454747254,983550,Low
10_brightfield_z1_t000078.tif,10,1,78,13.0,0.6326121651091076,1359117,Medium
4_brightfield_z1_t000050.tif,4,1,50,8.333333333333334,0.16585320075917387,779527,Very Low
10_brightfield_z1_t000051.tif,10,1,51,8.5,0.6326121651091076,1314801,Medium
10_brightfield_z1_t000099.tif,10,1,99,16.5,0.6326121651091076,1379757,Medium
2_brightfield_z1_t000037.tif,2,1,37,6.166666666666667,0.876934678643173,1158620,High
5_brightfield_z1_t000083.tif,5,1,83,13.833333333333334,0.7716107149955482,924011,High
5_brightfield_z1_t000091.tif,5,1,91,15.166666666666666,0.7716107149955482,885654,High
15_brightfield_z1_t000009.tif,15,1,9,1.5,0.7268985758133352,962557,Medium
14_brightfield_z1_t000061.tif,14,1,61,10.166666666666666,0.9928156277200251,473551,Very High
11_brightfield_z1_t000065.tif,11,1,65,10.833333333333334,0.9193995210257941,1305601,Very High
13_brightfield_z1_t000019.tif,13,1,19,3.1666666666666665,0.6522825423162754,1643256,Medium
12_brightfield_z1_t000082.tif,12,1,82,13.666666666666666,0.9597245567673008,437582,Very High
6_brightfield_z1_t000042.tif,6,1,42,7.0,0.7724659185359299,634023,High
7_brightfield_z1_t000076.tif,7,1,76,12.666666666666666,0.16164046078245653,587773,Very Low
10_brightfield_z1_t000117.tif,10,1,117,19.5,0.6326121651091076,1344549,Medium
10_brightfield_z1_t000047.tif,10,1,47,7.833333333333333,0.6326121651091076,1361931,Medium
3_brightfield_z1_t000035.tif,3,1,35,5.833333333333333,0.5593319454747254,1099735,Low
9_brightfield_z1_t000123.tif,9,1,123,20.5,0.32561501771508844,1584109,Very Low
10_brightfield_z1_t000064.tif,10,1,64,10.666666666666666,0.6326121651091076,1343497,Medium
8_brightfield_z1_t000123.tif,8,1,123,20.5,0.27233842320748736,430808,Very Low
11_brightfield_z1_t000060.tif,11,1,60,10.0,0.9193995210257941,1308818,Very High
3_brightfield_z1_t000004.tif,3,1,4,0.6666666666666666,0.5593319454747254,987489,Low
2_brightfield_z1_t000085.tif,2,1,85,14.166666666666666,0.876934678643173,1354321,High
5_brightfield_z1_t000053.tif,5,1,53,8.833333333333334,0.7716107149955482,1019583,High
1_brightfield_z1_t000094.tif,1,1,94,15.666666666666666,0.37742523975885955,1422372,Low
5_brightfield_z1_t000070.tif,5,1,70,11.666666666666666,0.7716107149955482,936584,High
12_brightfield_z1_t000036.tif,12,1,36,6.0,0.9597245567673008,927269,Very High
16_brightfield_z1_t000025.tif,16,1,25,4.166666666666667,0.4243918632628634,1369275,Low
11_brightfield_z1_t000040.tif,11,1,40,6.666666666666667,0.9193995210257941,1435097,Very High
16_brightfield_z1_t000106.tif,16,1,106,17.666666666666668,0.4243918632628634,608078,Low
13_brightfield_z1_t000005.tif,13,1,5,0.8333333333333334,0.6522825423162754,1589824,Medium
5_brightfield_z1_t000041.tif,5,1,41,6.833333333333333,0.7716107149955482,1005027,High
6_brightfield_z1_t000086.tif,6,1,86,14.333333333333334,0.7724659185359299,467350,High
11_brightfield_z1_t000050.tif,11,1,50,8.333333333333334,0.9193995210257941,1394858,Very High
1_brightfield_z1_t000059.tif,1,1,59,9.833333333333334,0.37742523975885955,1243065,Low
13_brightfield_z1_t000122.tif,13,1,122,20.333333333333332,0.6522825423162754,703331,Medium
15_brightfield_z1_t000075.tif,15,1,75,12.5,0.7268985758133352,281379,Medium
9_brightfield_z1_t000080.tif,9,1,80,13.333333333333334,0.32561501771508844,1627642,Very Low
15_brightfield_z1_t000035.tif,15,1,35,5.833333333333333,0.7268985758133352,400266,Medium
7_brightfield_z1_t000048.tif,7,1,48,8.0,0.16164046078245653,760845,Very Low
7_brightfield_z1_t000004.tif,7,1,4,0.6666666666666666,0.16164046078245653,698365,Very Low
3_brightfield_z1_t000029.tif,3,1,29,4.833333333333333,0.5593319454747254,1072039,Low
7_brightfield_z1_t000036.tif,7,1,36,6.0,0.16164046078245653,782081,Very Low
6_brightfield_z1_t000105.tif,6,1,105,17.5,0.7724659185359299,421873,High
6_brightfield_z1_t000083.tif,6,1,83,13.833333333333334,0.7724659185359299,476636,High
8_brightfield_z1_t000075.tif,8,1,75,12.5,0.27233842320748736,615006,Very Low
13_brightfield_z1_t000097.tif,13,1,97,16.166666666666668,0.6522825423162754,617745,Medium
12_brightfield_z1_t000079.tif,12,1,79,13.166666666666666,0.9597245567673008,448126,Very High
5_brightfield_z1_t000031.tif,5,1,31,5.166666666666667,0.7716107149955482,1014524,High
4_brightfield_z1_t000085.tif,4,1,85,14.166666666666666,0.16585320075917387,815631,Very Low
15_brightfield_z1_t000006.tif,15,1,6,1.0,0.7268985758133352,973256,Medium
1_brightfield_z1_t000036.tif,1,1,36,6.0,0.37742523975885955,1166609,Low
12_brightfield_z1_t000092.tif,12,1,92,15.333333333333334,0.9597245567673008,439331,Very High
7_brightfield_z1_t000003.tif,7,1,3,0.5,0.16164046078245653,694727,Very Low
13_brightfield_z1_t000091.tif,13,1,91,15.166666666666666,0.6522825423162754,584372,Medium
11_brightfield_z1_t000029.tif,11,1,29,4.833333333333333,0.9193995210257941,1496443,Very High
1_brightfield_z1_t000109.tif,1,1,109,18.166666666666668,0.37742523975885955,1435458,Low
5_brightfield_z1_t000049.tif,5,1,49,8.166666666666666,0.7716107149955482,1042891,High
5_brightfield_z1_t000106.tif,5,1,106,17.666666666666668,0.7716107149955482,839462,High
7_brightfield_z1_t000053.tif,7,1,53,8.833333333333334,0.16164046078245653,734533,Very Low
10_brightfield_z1_t000096.tif,10,1,96,16.0,0.6326121651091076,1376519,Medium
1_brightfield_z1_t000114.tif,1,1,114,19.0,0.37742523975885955,1453521,Low
2_brightfield_z1_t000106.tif,2,1,106,17.666666666666668,0.876934678643173,1406437,High
11_brightfield_z1_t000092.tif,11,1,92,15.333333333333334,0.9193995210257941,1200402,Very High
8_brightfield_z1_t000111.tif,8,1,111,18.5,0.27233842320748736,468298,Very Low
7_brightfield_z1_t000024.tif,7,1,24,4.0,0.16164046078245653,745285,Very Low
5_brightfield_z1_t000121.tif,5,1,121,20.166666666666668,0.7716107149955482,811228,High
2_brightfield_z1_t000109.tif,2,1,109,18.166666666666668,0.876934678643173,1396288,High
3_brightfield_z1_t000103.tif,3,1,103,17.166666666666668,0.5593319454747254,1292788,Low
9_brightfield_z1_t000020.tif,9,1,20,3.3333333333333335,0.32561501771508844,1498911,Very Low
12_brightfield_z1_t000083.tif,12,1,83,13.833333333333334,0.9597245567673008,439005,Very High
8_brightfield_z1_t000093.tif,8,1,93,15.5,0.27233842320748736,507951,Very Low
7_brightfield_z1_t000116.tif,7,1,116,19.333333333333332,0.16164046078245653,437971,Very Low
8_brightfield_z1_t000068.tif,8,1,68,11.333333333333334,0.27233842320748736,663516,Very Low
10_brightfield_z1_t000109.tif,10,1,109,18.166666666666668,0.6326121651091076,1374116,Medium
2_brightfield_z1_t000116.tif,2,1,116,19.333333333333332,0.876934678643173,1406622,High
8_brightfield_z1_t000092.tif,8,1,92,15.333333333333334,0.27233842320748736,508238,Very Low
14_brightfield_z1_t000055.tif,14,1,55,9.166666666666666,0.9928156277200251,471161,Very High
8_brightfield_z1_t000082.tif,8,1,82,13.666666666666666,0.27233842320748736,577178,Very Low
7_brightfield_z1_t000020.tif,7,1,20,3.3333333333333335,0.16164046078245653,758456,Very Low
16_brightfield_z1_t000124.tif,16,1,124,20.666666666666668,0.4243918632628634,646169,Low
15_brightfield_z1_t000125.tif,15,1,125,20.833333333333332,0.7268985758133352,425704,Medium
1_brightfield_z1_t000034.tif,1,1,34,5.666666666666667,0.37742523975885955,1164434,Low
16_brightfield_z1_t000117.tif,16,1,117,19.5,0.4243918632628634,638745,Low
6_brightfield_z1_t000109.tif,6,1,109,18.166666666666668,0.7724659185359299,407297,High
13_brightfield_z1_t000083.tif,13,1,83,13.833333333333334,0.6522825423162754,549289,Medium
1_brightfield_z1_t000005.tif,1,1,5,0.8333333333333334,0.37742523975885955,1017822,Low
9_brightfield_z1_t000029.tif,9,1,29,4.833333333333333,0.32561501771508844,1584051,Very Low
4_brightfield_z1_t000090.tif,4,1,90,15.0,0.16585320075917387,812834,Very Low
16_brightfield_z1_t000011.tif,16,1,11,1.8333333333333333,0.4243918632628634,1504180,Low
16_brightfield_z1_t000062.tif,16,1,62,10.333333333333334,0.4243918632628634,415457,Low
9_brightfield_z1_t000105.tif,9,1,105,17.5,0.32561501771508844,1605681,Very Low
2_brightfield_z1_t000062.tif,2,1,62,10.333333333333334,0.876934678643173,1302002,High
6_brightfield_z1_t000024.tif,6,1,24,4.0,0.7724659185359299,598833,High
10_brightfield_z1_t000072.tif,10,1,72,12.0,0.6326121651091076,1368234,Medium
11_brightfield_z1_t000041.tif,11,1,41,6.833333333333333,0.9193995210257941,1436981,Very High
7_brightfield_z1_t000092.tif,7,1,92,15.333333333333334,0.16164046078245653,495196,Very Low
8_brightfield_z1_t000122.tif,8,1,122,20.333333333333332,0.27233842320748736,428714,Very Low
16_brightfield_z1_t000081.tif,16,1,81,13.5,0.4243918632628634,516356,Low
6_brightfield_z1_t000121.tif,6,1,121,20.166666666666668,0.7724659185359299,365606,High
5_brightfield_z1_t000016.tif,5,1,16,2.6666666666666665,0.7716107149955482,939944,High
4_brightfield_z1_t000082.tif,4,1,82,13.666666666666666,0.16585320075917387,800881,Very Low
15_brightfield_z1_t000111.tif,15,1,111,18.5,0.7268985758133352,422390,Medium
13_brightfield_z1_t000048.tif,13,1,48,8.0,0.6522825423162754,648332,Medium
2_brightfield_z1_t000063.tif,2,1,63,10.5,0.876934678643173,1303724,High
8_brightfield_z1_t000006.tif,8,1,6,1.0,0.27233842320748736,725658,Very Low
2_brightfield_z1_t000086.tif,2,1,86,14.333333333333334,0.876934678643173,1362924,High
4_brightfield_z1_t000078.tif,4,1,78,13.0,0.16585320075917387,794064,Very Low
14_brightfield_z1_t000013.tif,14,1,13,2.1666666666666665,0.9928156277200251,1550028,Very High
9_brightfield_z1_t000050.tif,9,1,50,8.333333333333334,0.32561501771508844,1636296,Very Low
5_brightfield_z1_t000065.tif,5,1,65,10.833333333333334,0.7716107149955482,973833,High
